abbauen ;dismantle 
die Anleitung;the guidance
die Anleitungen ;the instructions 
außergewöhnlich ;exceptional 
der Bedarf;the need
durchführen;carry out
das Labor;the laboratory
die Labore;the laboratories
das Molekül;the molecule
die Moleküle;the molecules
die Naturwissenschaft;the natural science
die Naturwissenschaften;the natural sciences
das Phänomen;the phenomenon
die Phänomene;the phenomena
die Scheu ;the shyness 
schrumpfen ;shrink 
überlebenswichtig ;survival 
das Umfeld ;the environment 
verschärfen;exacerbate
das Experiment ;the experiment 
die Experimente;the experiments
die Forschung;the research (s)
die Forschungen;the research (pl)
heranführen an ;approach 
konzipieren;design
die Probandin;the test person (f)
der Proband;the test person (m)
abstrakt ;abstract 
bewerten ;evaluate 
ertragen;bear
glaubwürdig ;credible 
ignorieren ;ignore 
intellektuell;intellectually
das Kompliment;the compliment
die Komplimente;the compliments
die Lüge;the lie
die Lügen;the lies
regulieren ;regulate 
schwindeln ;fib 
übertreiben;exaggerate
die Untersuchung;the investigation
die Untersuchungen ;the investigations 
wünschenswert;desirable
aufhalten;stop
auskommen;get along
aussterben;extinction
der Kunststoffe ;of plastics 
leiden an;suffer from
die Ökologin;the ecologist (f)
der Ökologe;the ecologist (m)
die Prognose;the forecast
die Prognosen ;the forecasts 
radioaktiv ;radioactive 
die Stromleitung;the power line
die Stromleitungen ;the power lines 
vermissen ;miss 
die Vision;the vision
die Visionen ;the visions 
der Zerfall;the decay
sich erholen ;recover 
die Industrialisierung;the industrialisation
intakt;intact
ausreichend ;sufficient 
ausschlafen;sleep in
dauerhaft ;permanently 
dösen ;snooze 
das Fazit ;the conclusion 
die Fazits ;the conclusion 
geheimnisvoll;mysterious
verarbeiten;process
verpennen (ugs.);oversleep (ugs.)
verschlafen;oversleep
die Verschwendung ;the waste 
sich trösten ;to console oneself 
sich wälzen;toss and turn
heimlich ;secretly 
die Leistungsfähigkeit;the efficiency
die Lebenskunst ;the art of living 
das Nickerchen;the nap
der Schlafmangel;the lack of sleep
wie ausgewechselt sein ;to be as if changed 
Begeisterung wecken ;to arouse enthusiasm 
etw. im Griff haben ;to have sth. under control 
im Lauf der Zeit;in the course of time
jmd. an den Lippen hängen ;to hang on someone's lips 
Spuren hinterlassen ;leave traces 
eine Tendenz zeigen ;show a tendency 
sich einen Vorteil verschaffen ;gain an advantage 
etw./jmd. aus dem Weg gehen ;to get out of the way of sth./someone 
die Weichen stellen für;set the course for
